candidate_id	material_type	source_project	source_path	source_commit_or_version	source_blob_or_hash	author_or_provenance	rights_owner_evidence	governing_license_or_grant	dependency_closure	intended_use	allowed_action	required_notices	reviewer	status	evidence_or_gap
DND-ASSET-03	image	Claude-Code-Game-Master	public/6255a833-28d4-4f10-816b-64b3a5d9efac.png	ae25d6e48776c0f361fbcb6806e5195203542941	a810f1123fe9706c96df823e6279adcd56c40a72	added in 06bd05a by Sstobo; generation/source metadata absent	unknown; no artist, model, input, or assignment evidence	repository declaration alone does not prove underlying image rights	unknown source inputs, fonts, models, references, and generator terms	future product art	AVOID	not applicable while excluded	qualified IP/legal reviewer required; not yet recorded	AVOID_LITERAL	No embedded or adjacent rights receipt was found.
DND-DEPS-01	dependency_manifest	Claude-Code-Game-Master	pyproject.toml and uv.lock	ae25d6e48776c0f361fbcb6806e5195203542941	not_applicable_multiple_blobs	multiple contributors; manifest selection is not a destination approval	unknown for selection expression; each package has independent terms	each dependency has independent terms; destination-use compatibility unresolved	current direct and transitive graph not closed for the future architecture	future runtime and development dependencies	AVOID; SELECT_AFRESH	destination SBOM and package-specific license/notice/source obligations	qualified IP/legal and security reviewers required; not yet recorded	AVOID_LITERAL	Do not copy manifest or lock; resolve a minimal fresh graph and pin it.
DND-SUBSYSTEM-01	mixed_source	Claude-Code-Game-Master	lib/world_graph.py; tools and wrappers; session/frontend/dashboard subsystems	ae25d6e48776c0f361fbcb6806e5195203542941	not_calculated_group	multiple contributors; exact path-level provenance not closed	unknown; no complete assignments or transfer grant	repository declares CC BY-NC-SA 4.0; dependency/data/prompt closure unresolved	large internal and external closure not enumerated	possible architectural inspiration	BEHAVIORAL_REWRITE	none for independent implementation	qualified IP/legal reviewer required; not yet recorded	AVOID_LITERAL	Canonical specification explicitly rejects wholesale WorldGraph, CLI, session, frontend, and dashboard transfer.
ORCH-BEHAVIOR-01	behavior_cluster	Orchestra	app/db.py and app/routes/sessions.py	366367f5d6d3fe85c90be0aa91f2c7608ce95460	not_calculated_group	multiple contributors; exact blob ownership not closed	Seedon LLC copyright notice; no product commercial grant supplied	GNU AGPL-3.0 or separate commercial agreement	app database, routes, models, serialization and runtime closure unresolved	immutable event log and cursor behavior	BEHAVIORAL_REWRITE	none for independent behavior; no copied expression	qualified IP/legal reviewer required; not yet recorded	AVOID_LITERAL	AGPL network/source obligation and unresolved closure conflict with the selected proprietary route.
ORCH-BEHAVIOR-02	behavior_cluster	Orchestra	app/session.py and app/manager.py	366367f5d6d3fe85c90be0aa91f2c7608ce95460	not_calculated_group	multiple contributors; exact blob ownership not closed	Seedon LLC copyright notice; no product commercial grant supplied	GNU AGPL-3.0 or separate commercial agreement	process, event, database, runtime and provider closure unresolved	persist-before-work and recovery behavior	BEHAVIORAL_REWRITE	none for independent behavior; no copied expression	qualified IP/legal reviewer required; not yet recorded	AVOID_LITERAL	Use invariant only; do not transfer recovery machinery.
ORCH-BEHAVIOR-03	behavior_cluster	Orchestra	app/runtime_registry.py and app/runtime_router.py and app/models.py	366367f5d6d3fe85c90be0aa91f2c7608ce95460	not_calculated_group	multiple contributors; exact blob ownership not closed	Seedon LLC copyright notice; no product commercial grant supplied	GNU AGPL-3.0 or separate commercial agreement	model, provider, registry, persistence and configuration closure unresolved	capability routing behavior	BEHAVIORAL_REWRITE	none for independent behavior; no copied expression	qualified IP/legal reviewer required; not yet recorded	AVOID_LITERAL	Destination must define a smaller typed capability contract independently.
ORCH-BEHAVIOR-04	behavior_cluster	Orchestra	app/session_hibernate.py and app/session.py and app/manager.py	366367f5d6d3fe85c90be0aa91f2c7608ce95460	not_calculated_group	multiple contributors; exact blob ownership not closed	Seedon LLC copyright notice; no product commercial grant supplied	GNU AGPL-3.0 or separate commercial agreement	process, event, recovery, database and runtime closure unresolved	interrupted and idle recovery behavior	BEHAVIORAL_REWRITE	none for independent behavior; no copied expression	qualified IP/legal reviewer required; not yet recorded	AVOID_LITERAL	Only state-machine behavior may inform the new specification.
ORCH-BEHAVIOR-05	behavior_cluster	Orchestra	app/merge_operations.py	366367f5d6d3fe85c90be0aa91f2c7608ce95460	not_calculated_group	multiple contributors; exact blob ownership not closed	Seedon LLC copyright notice; no product commercial grant supplied	GNU AGPL-3.0 or separate commercial agreement	database, models, routes, worktree and lifecycle closure unresolved	idempotent lifecycle-operation behavior	BEHAVIORAL_REWRITE	none for independent behavior; no copied expression	qualified IP/legal reviewer required; not yet recorded	AVOID_LITERAL	Take only the idempotency invariant; implementation is out of scope.
SRD-521-01	rules_content	Wizards of the Coast	SRD 5.2.1 official PDF	release 5.2.1 published 2025-05-01	hash_not_recorded_no_transfer	Wizards official publication	official licensor identified in prescribed attribution	CC BY 4.0 as stated by Wizards	content-only; exact selected pages/sections and adaptations must be recorded	I0 5.5e rules terms and data	AVOID; BEHAVIORAL_REWRITE	Prescribed SRD 5.2.1 attribution, CC BY link, modification indication where applicable, no implied endorsement	qualified IP/legal reviewer required for each content inventory; not yet recorded	AVOID_LITERAL	Current state is fail-closed. A new row may become USE_AS_GRANTED only after all six literal-material checks in ip-route.md contain immutable evidence and a dated qualified signature; no field may remain unknown or conditional.
SRD-51-01	rules_content	Wizards of the Coast	SRD 5.1 official PDF	release 5.1	hash_not_recorded_no_transfer	Wizards official publication	official licensor identified in prescribed attribution	CC BY 4.0 as stated by Wizards	content-only; mixing conflict and exact selected pages/sections unresolved	legacy 5e rule only if later requirement proves need	AVOID; BEHAVIORAL_REWRITE	Prescribed SRD 5.1 attribution plus SRD 5.2.1 attribution if mixed, modification indication, no implied endorsement	qualified IP/legal reviewer required; not yet recorded	AVOID_LITERAL	Not prohibited, but excluded to prevent silent rules-version mixing. Any later literal use starts a separate complete USE_AS_GRANTED row; this row never grants admission.
SPEC-CONCEPT-01	image_reference	canonical MVP specification	two absolute-path cinematic concept image references	unknown	hash_not_recorded_no_transfer	unknown generator, prompts, inputs, account, and terms	unknown	unknown	unknown models, reference inputs, fonts, logos, and generation terms	visual direction only	AVOID; WRITE_NEW_VISUAL_BRIEF	not applicable while excluded	qualified IP/legal reviewer required; not yet recorded	AVOID_LITERAL	A reference path and visual appearance are not transferable provenance.
FUTURE-VOICE-01	voice_asset	future commission/provider	performer enrollment recordings, model, and cached outputs	not_created	not_available	future performer, producer, and provider evidence required	unknown until signed assignment/license and consent	unknown until commission and generation-time provider terms are archived	performer rights, recording rights, training/model rights, provider inputs, output, music/SFX, privacy and retention closure	brand voice and cached dialogue	AVOID	exact contract, performer credit if any, provider terms/plan snapshot, consent and retention record	qualified IP/legal and privacy reviewers required; not yet recorded	AVOID_LITERAL	No asset, consent, receipt, account-plan evidence, or terms snapshot exists. Admission requires a new USE_AS_GRANTED row with every provenance/dependency/notice field immutable and dated qualified signatures.
FUTURE-ASSET-01	art_audio_font	future original, commission, CC0/CC BY, or licensed stock source	assets/cleared only after approval	not_created	not_available	future creator/licensor/receipt evidence required	unknown until written assignment or license	unknown until exact source and terms are archived	inputs, references, fonts, model/provider, stems/source files, output and redistribution closure	art, map, music, SFX, font, UI asset	AVOID	license-specific attribution and notices plus provenance manifest	qualified IP/legal reviewer required; not yet recorded	AVOID_LITERAL	CC BY-NC, CC BY-SA, unknown, scraped, unreceipted, or generated-with-unknown-input assets remain excluded. Admission requires a new USE_AS_GRANTED row with every provenance/dependency/notice field immutable and a dated qualified signature.
FUTURE-ORIGINAL-01	new_source_and_tests	future private repository	newly authored files only	future destination commit	future destination blob	identified contributor under recorded employment/assignment terms	legal entity and contributor instrument not yet recorded	future proprietary rights notice and contributor agreement	fresh pinned dependencies and independently authored tests; full SBOM required	I0 proprietary hosted product	CREATE_AFTER_REPOSITORY_GATES	rights notice, provenance record, third-party notices and SBOM	qualified IP/legal reviewer required before first product-code commit	BLOCKED_PENDING_GATES	This is the intended route; exact legal entity, assignments, host controls, and reviewer sign-off remain missing.
